sample,bootstrap_id,model,label,fvu,mae
full_21,84,fin+x,H+X,0.05238784815731107,3.271778319855595
full_21,84,fin+text,H+Z,0.08587210887934718,3.6267610355550373
full_21,84,fin+x+text,H+X+Z,0.07712518856400902,3.2497557342579713
full_21,85,fin,H,0.4550086955597294,7.160765743832872
full_21,85,fin+x,H+X,0.1220949166857762,3.3935546988511356
full_21,85,fin+text,H+Z,0.24928351442961483,4.5066117396677345
full_21,85,fin+x+text,H+X+Z,0.226117949881111,4.248470502262033
full_21,86,fin,H,0.22325354799227085,6.810026560710484
full_21,86,fin+x,H+X,0.09072306664381506,3.9390367332266902
full_21,86,fin+text,H+Z,0.13749068123417854,4.4696551191603495
full_21,86,fin+x+text,H+X+Z,0.11894721675147567,3.9637378741912825
full_21,87,fin,H,0.2716734425316084,6.042119002859829
full_21,87,fin+x,H+X,0.12359435194232044,4.132043567873242
full_21,87,fin+text,H+Z,0.15358325219712982,4.2055167467637204
full_21,87,fin+x+text,H+X+Z,0.12717967761418442,3.533473893697138
full_21,88,fin,H,0.2236268612793564,6.258158124637592
full_21,88,fin+x,H+X,0.1058627916952423,4.415484932529591
full_21,88,fin+text,H+Z,0.20223732900203234,5.552819141863428
full_21,88,fin+x+text,H+X+Z,0.17745595143916326,4.770162429762881
full_21,89,fin,H,0.13175561055796647,5.914762398196424
full_21,89,fin+x,H+X,0.0821799481508262,3.992293817285997
full_21,89,fin+text,H+Z,0.06935441178759941,3.5291158319755738
full_21,89,fin+x+text,H+X+Z,0.04740094437197878,2.7548184508025666
full_21,90,fin,H,0.2312090574093891,6.262822236434799
full_21,90,fin+x,H+X,0.05626280213923794,3.0411430641424944
full_21,90,fin+text,H+Z,0.11300937708189315,4.117124869115152
full_21,90,fin+x+text,H+X+Z,0.10342278941348497,3.7313315418025237
full_21,91,fin,H,0.14104283006246296,5.481919876643737
full_21,91,fin+x,H+X,0.05692230849898109,3.453000080887142
full_21,91,fin+text,H+Z,0.13329776171320745,4.736755939266232
full_21,91,fin+x+text,H+X+Z,0.12073075942828394,4.195717162413483
full_21,92,fin,H,0.1773262486784517,7.164065588342055
full_21,92,fin+x,H+X,0.05480999540888037,3.9697371539998905
full_21,92,fin+text,H+Z,0.16917779542517475,6.63449347013542
full_21,92,fin+x+text,H+X+Z,0.1591320478611105,6.031956920458991
full_21,93,fin,H,0.23232984355313854,6.573609982774378
full_21,93,fin+x,H+X,0.04969168070001329,3.1432434964040796
full_21,93,fin+text,H+Z,0.08737441314298884,3.727530756649014
full_21,93,fin+x+text,H+X+Z,0.08405754338841502,3.6172139700477683
full_21,94,fin,H,0.1806998703490197,5.933655813108055
full_21,94,fin+x,H+X,0.03480212650712732,2.4848755652316217
full_21,94,fin+text,H+Z,0.03169358149790556,2.5870484362951642
full_21,94,fin+x+text,H+X+Z,0.031256677667280255,2.655755659321662
full_21,95,fin,H,0.13622310213543382,5.605869523047185
full_21,95,fin+x,H+X,0.05738814856907752,3.6775989176474497
full_21,95,fin+text,H+Z,0.09637169188518033,4.518271311244411
full_21,95,fin+x+text,H+X+Z,0.07818267902215212,3.6715159308457443
full_21,96,fin,H,0.12130476510253417,4.9600372382932685
full_21,96,fin+x,H+X,0.03470380969989451,2.919395903995242
full_21,96,fin+text,H+Z,0.05827818100358743,3.048783333102772
full_21,96,fin+x+text,H+X+Z,0.057505871169811845,3.1236217336065946
full_21,97,fin,H,0.9055597472760375,6.691992372687546
full_21,97,fin+x,H+X,0.2879482621555621,3.8595914744791386
full_21,97,fin+text,H+Z,0.33563109773793776,4.238774342689519
full_21,97,fin+x+text,H+X+Z,0.2458217975063418,3.4602733019730203
full_21,98,fin,H,0.34025183115337226,8.490466136881919
full_21,98,fin+x,H+X,0.08152780808048385,4.271804038106937
full_21,98,fin+text,H+Z,0.12933111663057018,4.774020623245183
full_21,98,fin+x+text,H+X+Z,0.11649532319578244,4.494893352380129
full_21,99,fin,H,0.1672992949713832,5.567831146286329
full_21,99,fin+x,H+X,0.05062584151021073,3.2874672771111513
full_21,99,fin+text,H+Z,0.12175371908317174,3.9323114349467203
full_21,99,fin+x+text,H+X+Z,0.13064436553378014,4.39706765469464
full_21,100,fin,H,0.2090780589567693,7.639174318493114
full_21,100,fin+x,H+X,0.0223987877655763,2.3249273560248143
full_21,100,fin+text,H+Z,0.01736530193309627,2.3454951955822207
full_21,100,fin+x+text,H+X+Z,0.022482962082865626,2.6467645570194054
full_21,101,fin,H,0.31802826476511,7.776217354899202
full_21,101,fin+x,H+X,0.09356029870930914,4.5411843446372675
full_21,101,fin+text,H+Z,0.14052598289868168,4.845926505777204
full_21,101,fin+x+text,H+X+Z,0.11745357606037035,3.8720140777787804
full_21,102,fin,H,0.16625692177045456,7.205604999837342
full_21,102,fin+x,H+X,0.04595369734431956,3.5025536512094746
