sample,bootstrap_id,model,label,fvu,mae
full_21,168,BASE,Without tool use,0.05824642932335195,3.741949369763206
full_21,168,TOOL,With tool use,0.05970700477967063,3.9330984902737995
full_21,169,BASE,Without tool use,0.059573760684857154,3.3543094702311658
full_21,169,TOOL,With tool use,0.06364344710625261,3.3736915774064
full_21,170,BASE,Without tool use,0.02883198894304239,2.8170677288029773
full_21,170,TOOL,With tool use,0.024189993497606085,2.391590776200343
full_21,171,BASE,Without tool use,0.04596403056454328,3.2665719633439343
full_21,171,TOOL,With tool use,0.043505026566628836,3.206034776751595
full_21,172,BASE,Without tool use,0.29402775148012944,4.688781728075572
full_21,172,TOOL,With tool use,0.2902501089059585,4.645006490718986
full_21,173,BASE,Without tool use,0.2312854649052642,5.772665434172608
full_21,173,TOOL,With tool use,0.21007512341217677,5.504293928528638
full_21,174,BASE,Without tool use,0.19610407134412633,4.218157331294212
full_21,174,TOOL,With tool use,0.18914492446336675,4.213674842798898
full_21,175,BASE,Without tool use,0.2429710958059289,5.7670893870890465
full_21,175,TOOL,With tool use,0.24269169199910723,5.878545588450102
full_21,176,BASE,Without tool use,0.055914829764621976,3.8215442354276163
full_21,176,TOOL,With tool use,0.05279845626529076,3.8756242651663184
full_21,177,BASE,Without tool use,0.11983888366640037,4.423799037079734
full_21,177,TOOL,With tool use,0.12431602106438043,4.486400193587793
full_21,178,BASE,Without tool use,0.1001148143755734,3.143743106889012
full_21,178,TOOL,With tool use,0.08987533322859766,2.9554641969777737
full_21,179,BASE,Without tool use,0.038275601439316395,3.2796150561530415
full_21,179,TOOL,With tool use,0.032691530183647975,2.8894435247781876
full_21,180,BASE,Without tool use,0.09120291710985239,3.920559410885498
full_21,180,TOOL,With tool use,0.07879565477941311,3.560988116008807
full_21,181,BASE,Without tool use,0.044617110461457915,3.3588555234201243
full_21,181,TOOL,With tool use,0.04697307743827337,3.5630864242428846
full_21,182,BASE,Without tool use,0.05816426803558687,3.2650717006032024
full_21,182,TOOL,With tool use,0.05969897653857882,3.1881050764706513
full_21,183,BASE,Without tool use,0.0564925324136032,3.120733606500654
full_21,183,TOOL,With tool use,0.05511499015850053,2.9149698068444496
full_21,184,BASE,Without tool use,0.07037960088703545,4.272744612583332
full_21,184,TOOL,With tool use,0.07078674757533944,4.321070183228801
full_21,185,BASE,Without tool use,0.11410246332260983,4.3218087993308805
full_21,185,TOOL,With tool use,0.11500743406189873,4.377212881635741
full_21,186,BASE,Without tool use,0.1559763117470848,4.295138420647336
full_21,186,TOOL,With tool use,0.15727311769882826,4.301978401806457
full_21,187,BASE,Without tool use,0.06231843670145801,2.8299221056697244
full_21,187,TOOL,With tool use,0.057162469013815914,2.6878512818457345
full_21,188,BASE,Without tool use,0.10322231735796841,4.4044253938443125
full_21,188,TOOL,With tool use,0.08815772112716144,3.9467797735738217
full_21,189,BASE,Without tool use,0.07952942005366952,4.32817645312282
full_21,189,TOOL,With tool use,0.09021084076751285,4.775032579871144
full_21,190,BASE,Without tool use,0.16985698383866701,5.4014609072569
full_21,190,TOOL,With tool use,0.15517169544278006,5.033677019313329
full_21,191,BASE,Without tool use,0.09348020785535206,3.282790591509213
full_21,191,TOOL,With tool use,0.10119453797938172,3.461482044966153
full_21,192,BASE,Without tool use,0.19202100085710486,5.444444262846623
full_21,192,TOOL,With tool use,0.19115233952911337,5.519191651686913
full_21,193,BASE,Without tool use,0.09112680627270375,4.063617720110413
full_21,193,TOOL,With tool use,0.09292495094069267,4.2103593272171835
full_21,194,BASE,Without tool use,0.05084036419289599,4.016142253089571
full_21,194,TOOL,With tool use,0.05366132882388893,4.340556662470463
full_21,195,BASE,Without tool use,0.06841694637891742,4.184465136887901
full_21,195,TOOL,With tool use,0.05953022971797759,3.7701892865756808
full_21,196,BASE,Without tool use,0.1351346142939727,3.671170963475868
full_21,196,TOOL,With tool use,0.13810388771614462,3.834308076529249
full_21,197,BASE,Without tool use,0.21079642485962577,4.701488651042687
full_21,197,TOOL,With tool use,0.20813511704079365,4.759969099257913
full_21,198,BASE,Without tool use,0.08487209853275472,3.882292722366619
full_21,198,TOOL,With tool use,0.07627925028689131,3.6409324171828885
full_21,199,BASE,Without tool use,0.2740723249364857,6.562571849074919
full_21,199,TOOL,With tool use,0.26092136705871505,6.471213349174963
full_21,200,BASE,Without tool use,0.02137968568151088,2.135407921640542
full_21,200,TOOL,With tool use,0.021880979483199402,2.1005257748041775
full_21,201,BASE,Without tool use,0.11199779235904284,3.559996452678532
full_21,201,TOOL,With tool use,0.10161024508414021,3.4096279795844255
full_21,202,BASE,Without tool use,0.19330205454945826,4.437988667981482
full_21,202,TOOL,With tool use,0.19536088533537335,4.530301314485802
full_21,203,BASE,Without tool use,0.066705805040236,3.90304850524623
full_21,203,TOOL,With tool use,0.06784292196685424,4.021978423990793
full_21,204,BASE,Without tool use,0.14420009037504136,5.768780671364059
full_21,204,TOOL,With tool use,0.1514468984131577,6.166984581836968
full_21,205,BASE,Without tool use,0.16198288744846626,4.49255708841955
full_21,205,TOOL,With tool use,0.14853035424333777,4.270811236637024
full_21,206,BASE,Without tool use,0.13164834240351522,4.060366467892208
full_21,206,TOOL,With tool use,0.12667937709724736,3.9620024847164537
full_21,207,BASE,Without tool use,0.10925495121326402,4.615070089419527
full_21,207,TOOL,With tool use,0.11527208541618995,4.738266729451553
