sample,bootstrap_id,method,label,fvu,mae
full_21,732,our_method,Our Method,0.12942182455197107,5.476063725334416
full_21,733,historical_average,Historical Avg.,1.757950148869357,20.214575177294044
full_21,733,ols,OLS,17.138491523556937,86.37666746116908
full_21,733,gbt,GBT,4.218848506994578,40.476605900515025
full_21,733,ensembled_llm,Ensembled LLM,0.04676512045616631,4.031928087250016
full_21,733,our_method,Our Method,0.08409462071693764,4.297553316451523
full_21,734,historical_average,Historical Avg.,1.9565272241324747,19.66173926854046
full_21,734,ols,OLS,25.299281197672297,90.67346045621503
full_21,734,gbt,GBT,7.083691946284839,47.65778472793156
full_21,734,ensembled_llm,Ensembled LLM,0.05459149437899937,3.5145802820116097
full_21,734,our_method,Our Method,0.04412599919906989,2.9284395305423474
full_21,735,historical_average,Historical Avg.,1.1737638227248444,16.035661958340143
full_21,735,ols,OLS,18.016724014032015,83.1907464646372
full_21,735,gbt,GBT,6.145974353135547,47.84517149743822
full_21,735,ensembled_llm,Ensembled LLM,0.020828783445009134,2.3534543724946
full_21,735,our_method,Our Method,0.0122063430772939,1.910442504088927
full_21,736,historical_average,Historical Avg.,1.8776001958578128,20.337132804579895
full_21,736,ols,OLS,18.714666151224357,81.28003859649048
full_21,736,gbt,GBT,5.667449787082823,42.20359563921068
full_21,736,ensembled_llm,Ensembled LLM,0.0345619765527585,3.1937002141808346
full_21,736,our_method,Our Method,0.07641272436342965,3.678229087690385
full_21,737,historical_average,Historical Avg.,0.7379207892134352,13.05534113206618
full_21,737,ols,OLS,22.276794371960555,83.87556445206411
full_21,737,gbt,GBT,6.041936744041154,44.56127050117851
full_21,737,ensembled_llm,Ensembled LLM,0.04333925418349452,3.2009396815440776
full_21,737,our_method,Our Method,0.0692062920068723,3.487406136578854
full_21,738,historical_average,Historical Avg.,3.5125914155482185,23.284733400909214
full_21,738,ols,OLS,25.628571266319742,84.42948834577255
full_21,738,gbt,GBT,7.374010696824775,45.70947839067373
full_21,738,ensembled_llm,Ensembled LLM,0.09128061244480237,4.278972475429742
full_21,738,our_method,Our Method,0.06935547417954671,3.174395810863046
full_21,739,historical_average,Historical Avg.,1.739575421577616,22.469372580779915
full_21,739,ols,OLS,19.329679954598955,95.71509223067419
full_21,739,gbt,GBT,5.2822490456033835,45.700741520555596
full_21,739,ensembled_llm,Ensembled LLM,0.03810954014096396,3.6711529250913846
full_21,739,our_method,Our Method,0.043509427448182925,3.2257701533906884
full_21,740,historical_average,Historical Avg.,1.0444948760988646,12.804532929225592
full_21,740,ols,OLS,32.489797397451014,96.91181505762388
full_21,740,gbt,GBT,7.067663685981544,42.65194541999588
full_21,740,ensembled_llm,Ensembled LLM,0.07070502029704931,3.6423664542111065
full_21,740,our_method,Our Method,0.11646341185179125,4.246555298442748
full_21,741,historical_average,Historical Avg.,2.179884292637411,27.435959926817407
full_21,741,ols,OLS,19.44468291056201,100.91608367278606
full_21,741,gbt,GBT,5.6278851788685875,50.30038256638207
full_21,741,ensembled_llm,Ensembled LLM,0.030662034937549012,3.4250347334698716
full_21,741,our_method,Our Method,0.012406773042292254,2.1441094149540807
full_21,742,historical_average,Historical Avg.,0.7498794960837277,8.589681582356564
full_21,742,ols,OLS,20.04820192945811,59.840926474333045
full_21,742,gbt,GBT,8.299796655543997,38.703522626822995
full_21,742,ensembled_llm,Ensembled LLM,0.1422792503129909,4.103992268728634
full_21,742,our_method,Our Method,0.30066013639083855,5.553318021089028
full_21,743,historical_average,Historical Avg.,2.1835715254025208,14.559311968515727
full_21,743,ols,OLS,24.144750521543795,71.25470799152086
full_21,743,gbt,GBT,8.75260582437046,44.63052788720004
full_21,743,ensembled_llm,Ensembled LLM,0.058645141125134255,3.091539889042042
full_21,743,our_method,Our Method,0.04517444824863359,2.4354191085956147
full_21,744,historical_average,Historical Avg.,2.1539794084039703,18.823738747263043
full_21,744,ols,OLS,20.584464812151364,75.9628190154498
full_21,744,gbt,GBT,6.590703573288297,43.18213061257102
full_21,744,ensembled_llm,Ensembled LLM,0.08842772279956325,4.261922860969986
full_21,744,our_method,Our Method,0.10364030091612841,3.862356641160342
full_21,745,historical_average,Historical Avg.,1.459295247797873,18.670938158623656
full_21,745,ols,OLS,18.10243250571732,90.68149155455382
full_21,745,gbt,GBT,5.775455155818545,50.96944626711571
full_21,745,ensembled_llm,Ensembled LLM,0.03539310892195685,3.269823821660718
full_21,745,our_method,Our Method,0.017826515788669204,2.417092574383114
full_21,746,historical_average,Historical Avg.,0.7891734554792067,9.47882141971673
full_21,746,ols,OLS,33.20134120699059,83.01296199471425
full_21,746,gbt,GBT,7.447720993383527,38.84683137181917
full_21,746,ensembled_llm,Ensembled LLM,0.07373362394288131,3.1875010951392815
full_21,746,our_method,Our Method,0.21974546991268984,4.824574180437397
full_21,747,historical_average,Historical Avg.,3.7776099537196006,18.457843887372686
full_21,747,ols,OLS,34.84546865455758,75.88052711462647
full_21,747,gbt,GBT,10.778391509244829,43.44046981443123
full_21,747,ensembled_llm,Ensembled LLM,0.06623405855429139,2.6261715379006407
full_21,747,our_method,Our Method,0.02823065602678338,1.6911221893286827
full_21,748,historical_average,Historical Avg.,2.7536585429135894,27.409566894189897
full_21,748,ols,OLS,22.04740641399254,98.19177572721087
full_21,748,gbt,GBT,5.9145595305913155,50.879752843698995
full_21,748,ensembled_llm,Ensembled LLM,0.06480646662823017,4.944984636779131
full_21,748,our_method,Our Method,0.03421926594059877,2.940851399299993
full_21,749,historical_average,Historical Avg.,3.670892378014937,14.4820460202782
full_21,749,ols,OLS,54.08347424011138,85.65289844760808
full_21,749,gbt,GBT,13.916849348911116,45.784405643623245
full_21,749,ensembled_llm,Ensembled LLM,0.07728044139529847,2.604799934679041
full_21,749,our_method,Our Method,0.05047104413707128,2.09510559628321
full_21,750,historical_average,Historical Avg.,0.9272995185125109,9.458819829542694
full_21,750,ols,OLS,28.875752816652156,63.67236532656175
full_21,750,gbt,GBT,8.635896489270515,35.36422731568073
full_21,750,ensembled_llm,Ensembled LLM,0.09537974309990344,3.0647022184638133
full_21,750,our_method,Our Method,0.2511802445228446,4.216932362702357
full_21,751,historical_average,Historical Avg.,1.8597767638203058,7.920425300911549
full_21,751,ols,OLS,91.94881637704232,67.22644331578809
full_21,751,gbt,GBT,31.54770392819164,42.94895357273436
full_21,751,ensembled_llm,Ensembled LLM,0.25568827932378935,2.8511230486718384
full_21,751,our_method,Our Method,0.2589576524421324,2.736466467053244
full_21,752,historical_average,Historical Avg.,1.876682187706239,19.208903052755524
full_21,752,ols,OLS,20.608760660122307,82.44623273650691
full_21,752,gbt,GBT,6.405145236762437,45.38295810199831
full_21,752,ensembled_llm,Ensembled LLM,0.03247225706825844,2.957646234748425
full_21,752,our_method,Our Method,0.014023296387270878,1.9492845995380623
full_21,753,historical_average,Historical Avg.,0.8378204891237899,16.059282674831497
full_21,753,ols,OLS,21.062078924174134,100.0052249419925
full_21,753,gbt,GBT,5.749767930877133,52.78120596260494
full_21,753,ensembled_llm,Ensembled LLM,0.04735132883408336,4.233278615157986
full_21,753,our_method,Our Method,0.03958337074061572,3.656768661280872
full_21,754,historical_average,Historical Avg.,2.3977684645650768,28.02254707617092
full_21,754,ols,OLS,18.8826477879113,96.98473924713308
full_21,754,gbt,GBT,5.567486535123632,48.23219300077978
full_21,754,ensembled_llm,Ensembled LLM,0.07409697691949636,5.208902912252354
full_21,754,our_method,Our Method,0.04393157812653775,3.297057973091662
full_21,755,historical_average,Historical Avg.,2.084898349277907,18.954322005778693
full_21,755,ols,OLS,26.278719642454476,87.03828188256351
full_21,755,gbt,GBT,6.276367395876073,43.7137053530343
full_21,755,ensembled_llm,Ensembled LLM,0.06296018415305067,3.799042622213527
full_21,755,our_method,Our Method,0.05821397896374961,3.4201963382695126
full_21,756,historical_average,Historical Avg.,1.656024058447832,11.133168852675404
full_21,756,ols,OLS,51.46499977166024,75.11332065437361
full_21,756,gbt,GBT,15.050505438057318,44.45908194795784
full_21,756,ensembled_llm,Ensembled LLM,0.12044195029489961,3.099629576708548
full_21,756,our_method,Our Method,0.14263758753745484,3.262052178878458
full_21,757,historical_average,Historical Avg.,1.1783099665889611,18.51312108816072
full_21,757,ols,OLS,14.2126460305588,83.61957945760842
full_21,757,gbt,GBT,4.479718629872779,42.1169363882446
full_21,757,ensembled_llm,Ensembled LLM,0.04142453885008313,3.9691151131702695
full_21,757,our_method,Our Method,0.09221823879014254,4.893413769349601
full_21,758,historical_average,Historical Avg.,1.1262008870338238,14.515743029833166
full_21,758,ols,OLS,18.2213036314414,68.72848634005665
full_21,758,gbt,GBT,6.647079280700218,41.99318522699205
full_21,758,ensembled_llm,Ensembled LLM,0.04990701523849728,3.3208946860222723
full_21,758,our_method,Our Method,0.100465542465406,4.150634173351222
full_21,759,historical_average,Historical Avg.,2.1244464839424566,11.759289663686527
full_21,759,ols,OLS,42.06709971687102,84.68525981434745
full_21,759,gbt,GBT,10.125206710131948,41.630072924196064
full_21,759,ensembled_llm,Ensembled LLM,0.11581039248128473,3.4419045388165523
full_21,759,our_method,Our Method,0.1871019088160577,3.9476341173753657
full_21,760,historical_average,Historical Avg.,0.8219589068562015,14.667280536380284
full_21,760,ols,OLS,16.153648646282228,84.34305822763764
